id,marca,modelo,edad,kilometraje_km,combustible,transmision,potencia_cv,consumo_l_100km,num_duenos,estado,region,puertas,color,carroceria,precio_eur
233,Nissan,Micra,5,78035,Eléctrico,Manual,175,5.4,1,Bueno,Asturias,3,Plata,Familiar,4391
234,Skoda,Fabia,3,41412,Eléctrico,Automático,180,6.9,1,Excelente,Valencia,5,Plata,Monovolumen,6731
235,Volkswagen,Golf,7,116177,Gasolina,Manual,81,6.7,2,Bueno,Madrid,5,Azul,Compacto,4576
236,Dacia,Sandero,1,11138,Diésel,Automático,106,6.6,1,Bueno,Madrid,3,Rojo,Familiar,11367
237,Hyundai,i20,20,297116,Diésel,Manual,142,6.8,2,Excelente,Murcia,5,Negro,SUV,1500
238,Peugeot,208,4,67064,Gasolina,Manual,128,7.1,1,Bueno,Asturias,5,Azul,Monovolumen,8355
239,Renault,Megane,8,128307,Diésel,Manual,122,7.5,3,Bueno,Valencia,5,Plata,Berlina,2612
240,Volkswagen,Golf,8,122900,Gasolina,Manual,114,8.2,3,Bueno,Aragón,3,Azul,Compacto,4807
241,Nissan,Juke,17,262860,Híbrido,Automático,126,6.2,4,Excelente,Baleares,5,Blanco,Berlina,1783
242,Audi,A1,15,217359,Híbrido,Manual,120,7.2,3,Bueno,Cantabria,5,Gris,Berlina,1500
243,Opel,Mokka,13,194362,Diésel,Automático,141,5.7,3,Bueno,Galicia,5,Plata,Monovolumen,2489
244,Renault,Captur,9,144499,Gasolina,Manual,144,7.7,1,Bueno,Cantabria,5,Gris,Compacto,3178
245,SEAT,Arona,6,83557,Diésel,Manual,144,6.7,2,Bueno,Cantabria,3,Rojo,Familiar,5060
246,Mercedes,Clase A,18,280536,Gasolina,Manual,107,5.5,4,Bueno,La Rioja,5,Blanco,Berlina,1640
247,SEAT,Arona,6,85477,Gasolina,Manual,99,6.7,3,Excelente,Murcia,5,Rojo,Berlina,3057
248,Hyundai,i20,20,299175,Gasolina,Manual,160,7.2,4,Bueno,La Rioja,5,Blanco,Monovolumen,1500
249,Mercedes,Clase C,8,122266,Diésel,Automático,123,7.0,3,Aceptable,Castilla-La Mancha,5,Negro,Monovolumen,5477
250,Kia,Ceed,16,231997,Gasolina,Manual,93,7.6,6,Excelente,Murcia,5,Gris,Berlina,2260
251,Skoda,Fabia,9,121360,Gasolina,Manual,73,7.3,2,Bueno,Castilla y León,5,Negro,Familiar,4108
252,Mercedes,Clase A,8,115717,Gasolina,Manual,127,7.5,2,Bueno,Murcia,5,Plata,SUV,6217
253,Ford,Fiesta,10,151567,Diésel,Manual,137,7.2,2,Bueno,Cantabria,5,Gris,Familiar,1960
254,Skoda,Karoq,13,197938,Gasolina,Manual,175,7.0,1,Bueno,Castilla y León,5,Rojo,Familiar,2607
255,Opel,Mokka,3,29918,Gasolina,Automático,102,5.9,1,Bueno,Navarra,5,Blanco,Berlina,8710
256,Hyundai,Tucson,5,78426,Gasolina,Manual,152,7.9,1,Bueno,Murcia,5,Blanco,SUV,8118
257,Citroen,C5 Aircross,5,80874,Diésel,Manual,113,6.6,3,Bueno,Asturias,5,Rojo,Familiar,4174
258,Renault,Clio,13,197780,Diésel,Manual,159,6.7,5,Excelente,Cantabria,5,Gris,Monovolumen,2475
259,Hyundai,i20,20,311792,Gasolina,Manual,121,7.9,6,Bueno,Castilla-La Mancha,5,Azul,Monovolumen,1500
260,Citroen,C5 Aircross,2,28031,Diésel,Manual,60,8.2,3,Bueno,Navarra,5,Blanco,Compacto,8034
261,Peugeot,3008,16,235018,Gasolina,Manual,114,6.6,1,Bueno,Asturias,5,Azul,Berlina,1500
262,Citroen,C4,18,266565,Gasolina,Automático,62,6.1,4,Excelente,La Rioja,5,Plata,Compacto,1538
263,Opel,Mokka,13,203675,Diésel,Manual,115,6.9,3,Bueno,Extremadura,5,Azul,SUV,5555
264,Opel,Corsa,7,97910,Gasolina,Automático,116,7.3,4,Bueno,Murcia,5,Plata,Berlina,1500
265,Toyota,Yaris,12,174332,Diésel,Automático,60,5.1,6,Bueno,Aragón,5,Negro,Compacto,1500
266,Citroen,C3,12,176135,Diésel,Manual,133,7.8,1,Bueno,Cantabria,5,Gris,SUV,3048
267,Dacia,Duster,1,5000,Gasolina,Manual,112,7.0,1,Aceptable,Valencia,5,Gris,SUV,8504
268,Peugeot,208,11,163201,Gasolina,Manual,93,7.3,3,Bueno,Murcia,5,Rojo,Berlina,2661
269,Kia,Sportage,15,230665,Diésel,Manual,115,7.3,3,Bueno,Baleares,5,Negro,Berlina,2802
270,Nissan,Micra,1,5850,Gasolina,Manual,82,7.2,1,Bueno,Castilla y León,5,Rojo,Compacto,10182
271,Skoda,Octavia,5,96424,Gasolina,Automático,117,5.6,4,Excelente,Madrid,5,Negro,Familiar,7185
272,Mercedes,Clase A,12,170450,Gasolina,Manual,152,8.0,6,Bueno,Baleares,5,Blanco,Familiar,2787
273,Peugeot,308,3,30314,Híbrido,Manual,109,6.8,2,Bueno,Extremadura,5,Azul,Compacto,9700
274,Peugeot,3008,13,186154,Gasolina,Automático,124,7.0,1,Bueno,Valencia,5,Blanco,Familiar,3918
275,BMW,Serie 1,2,40482,Diésel,Automático,164,6.1,1,Bueno,Aragón,5,Negro,Monovolumen,11789
276,Toyota,Yaris,2,37718,Gasolina,Manual,170,6.2,3,Excelente,Navarra,5,Gris,Monovolumen,7884
277,Peugeot,208,7,101209,Híbrido,Automático,109,5.9,1,Bueno,Galicia,5,Plata,Berlina,4152
278,Nissan,Qashqai,8,119293,Diésel,Manual,120,6.3,2,Bueno,Cantabria,5,Plata,SUV,6817
279,Renault,Megane,4,59252,Diésel,Manual,135,6.7,4,Bueno,Baleares,5,Blanco,SUV,7847
280,Renault,Captur,6,77432,Diésel,Manual,60,5.5,4,Bueno,Cantabria,5,Azul,Compacto,4612
281,Toyota,Corolla,12,171492,Gasolina,Manual,108,6.2,4,Bueno,Baleares,5,Plata,Monovolumen,1593
282,Volkswagen,Golf,17,271592,Diésel,Automático,60,4.5,6,Excelente,Aragón,5,Blanco,Compacto,1871
283,Hyundai,i20,16,239758,Híbrido,Manual,115,4.3,6,Excelente,Asturias,5,Gris,SUV,2410
284,Opel,Corsa,8,114676,Diésel,Automático,131,6.4,4,Bueno,Valencia,5,Blanco,Berlina,1500
285,Toyota,Corolla,18,262754,Gasolina,Manual,113,6.7,6,Excelente,La Rioja,5,Azul,Familiar,3679
286,Ford,Fiesta,18,279326,Gasolina,Manual,74,7.1,3,Excelente,Asturias,5,Negro,Compacto,2835
287,Kia,Ceed,16,255656,Gasolina,Manual,123,8.0,2,Bueno,Extremadura,5,Negro,Monovolumen,3003
288,Ford,Fiesta,1,9986,Diésel,Automático,101,7.3,1,Aceptable,Galicia,5,Rojo,Compacto,11474
289,Kia,Sportage,7,109120,Gasolina,Manual,147,7.5,5,Bueno,Castilla-La Mancha,5,Rojo,SUV,5144
290,Mercedes,GLA,20,293438,Híbrido,Manual,129,4.2,2,Excelente,Canarias,3,Azul,SUV,1715
291,Mercedes,GLA,19,269851,Diésel,Automático,115,6.5,3,Bueno,Andalucía,5,Plata,Berlina,1864
292,Renault,Captur,20,287139,Eléctrico,Automático,90,4.9,6,Bueno,Murcia,5,Plata,Berlina,1500
293,Opel,Astra,18,270631,Gasolina,Manual,130,5.9,4,Excelente,Cataluña,5,Azul,SUV,3386
294,Mercedes,GLA,4,74404,Diésel,Manual,160,6.7,1,Excelente,Galicia,5,Gris,Familiar,11280
295,Renault,Captur,14,213810,Eléctrico,Manual,142,6.3,2,Bueno,Valencia,5,Azul,SUV,5987
296,BMW,Serie 1,13,180333,Gasolina,Manual,129,7.5,1,Bueno,Cataluña,5,Plata,Familiar,2084
297,Opel,Corsa,20,294990,Diésel,Automático,110,7.3,2,Bueno,Asturias,5,Plata,Berlina,1500
298,Audi,A3,9,141600,Gasolina,Automático,108,6.7,2,Bueno,Andalucía,5,Blanco,SUV,6499
299,Nissan,Micra,12,188219,Diésel,Manual,113,6.4,3,Bueno,Baleares,5,Gris,Monovolumen,2893
300,Volkswagen,Passat,2,29475,Gasolina,Manual,129,8.5,1,Aceptable,Andalucía,5,Rojo,Compacto,12118
301,SEAT,Ibiza,20,304177,Gasolina,Manual,109,7.4,5,Aceptable,Aragón,5,Blanco,Familiar,1500
302,Hyundai,i20,10,146495,Gasolina,Automático,133,7.5,3,Bueno,Valencia,5,Blanco,SUV,2571
303,Volkswagen,Polo,13,183763,Híbrido,Automático,94,6.5,5,Excelente,Extremadura,5,Gris,Familiar,2487
304,Nissan,Qashqai,3,52767,Diésel,Manual,170,5.9,2,Bueno,Navarra,5,Negro,SUV,9132
305,Citroen,C4,2,20484,Eléctrico,Automático,151,4.8,1,Bueno,Castilla-La Mancha,3,Azul,Berlina,12568
306,SEAT,León,3,40647,Gasolina,Automático,75,7.2,2,Aceptable,Madrid,5,Azul,Compacto,5950
307,Mercedes,Clase A,14,197797,Diésel,Manual,101,6.3,3,Aceptable,Galicia,5,Blanco,Familiar,1500
308,Volkswagen,Polo,4,64304,Gasolina,Automático,128,8.8,2,Aceptable,Valencia,5,Rojo,Familiar,5867
309,Ford,Kuga,8,123507,Gasolina,Manual,130,7.7,1,Bueno,Galicia,5,Gris,Familiar,4085
310,Nissan,Micra,10,150814,Gasolina,Manual,118,6.2,1,Aceptable,Galicia,5,Rojo,Compacto,1500
311,Peugeot,208,17,262909,Gasolina,Manual,96,7.7,3,Excelente,Asturias,5,Negro,Familiar,2300
312,Citroen,C4,6,84054,Gasolina,Manual,90,8.5,1,Bueno,Navarra,5,Plata,Berlina,4527
313,Volkswagen,Polo,10,154296,Gasolina,Automático,131,7.0,1,Bueno,Cataluña,5,Gris,SUV,2370
314,Opel,Corsa,8,122710,Híbrido,Manual,105,5.8,2,Excelente,Extremadura,3,Negro,Monovolumen,4882
315,Peugeot,208,19,297644,Híbrido,Automático,84,4.9,5,Excelente,Cantabria,5,Plata,Berlina,1500
316,Renault,Captur,2,23318,Gasolina,Automático,132,5.9,2,Aceptable,Castilla y León,5,Azul,Compacto,8755
317,Ford,Focus,10,156732,Gasolina,Automático,64,9.0,1,Excelente,Murcia,5,Azul,Compacto,1500
318,Skoda,Fabia,8,118394,Diésel,Manual,79,6.9,2,Aceptable,País Vasco,5,Negro,Berlina,3101
319,Volkswagen,Polo,11,152215,Diésel,Automático,141,8.1,1,Excelente,País Vasco,5,Azul,Familiar,1500
320,Toyota,C-HR,4,63407,Gasolina,Automático,130,6.7,2,Bueno,Cantabria,5,Gris,Monovolumen,9238
321,Skoda,Karoq,5,86139,Gasolina,Manual,159,7.4,2,Bueno,Aragón,3,Rojo,SUV,6383
322,BMW,Serie 1,12,169996,Gasolina,Automático,145,7.9,2,Bueno,Castilla-La Mancha,5,Blanco,Monovolumen,2812
323,BMW,X1,13,194842,Gasolina,Automático,67,6.6,4,Bueno,Castilla-La Mancha,5,Azul,Compacto,4656
324,Dacia,Sandero,15,219805,Gasolina,Manual,163,8.3,6,Aceptable,Madrid,5,Gris,SUV,1500
325,Ford,Kuga,14,221029,Híbrido,Automático,98,4.9,3,Bueno,Aragón,5,Blanco,Familiar,1748
326,Volkswagen,Polo,1,16711,Gasolina,Manual,75,6.0,1,Bueno,Castilla y León,5,Gris,Compacto,14013
327,Opel,Astra,19,278559,Gasolina,Manual,133,7.8,6,Bueno,Canarias,5,Blanco,Berlina,1500
328,Dacia,Duster,2,19980,Gasolina,Manual,119,7.9,1,Aceptable,Murcia,5,Azul,Berlina,6212
329,Nissan,Qashqai,3,45089,Diésel,Automático,147,7.5,2,Excelente,Aragón,5,Plata,SUV,11030
330,Mercedes,Clase A,15,230441,Diésel,Automático,159,5.1,1,Bueno,Cataluña,3,Gris,Monovolumen,3042
331,BMW,X1,2,32781,Gasolina,Manual,117,6.7,1,Bueno,Castilla-La Mancha,5,Gris,SUV,19511
332,Opel,Mokka,18,261302,Híbrido,Manual,102,6.0,6,Bueno,País Vasco,5,Plata,SUV,1500
333,Renault,Megane,12,176317,Diésel,Automático,60,7.7,2,Bueno,Murcia,5,Azul,Compacto,1500
334,Skoda,Octavia,9,128356,Diésel,Manual,143,6.8,1,Bueno,Castilla-La Mancha,3,Blanco,Familiar,4953
335,Volkswagen,Tiguan,20,305203,Gasolina,Automático,60,8.0,4,Bueno,Cantabria,3,Blanco,Compacto,1500
336,Renault,Megane,1,23655,Eléctrico,Automático,104,6.2,3,Bueno,Aragón,5,Azul,Compacto,14952
337,Opel,Corsa,17,250712,Gasolina,Automático,143,6.2,6,Bueno,País Vasco,5,Gris,Familiar,1500
338,BMW,Serie 1,19,290564,Gasolina,Manual,151,7.0,1,Excelente,Asturias,3,Blanco,Familiar,2206
339,Mercedes,GLA,1,5000,Diésel,Manual,101,7.2,2,Excelente,Navarra,5,Azul,Berlina,27275
340,Peugeot,308,8,134553,Diésel,Automático,130,6.3,3,Excelente,Cantabria,3,Azul,SUV,4427
341,Dacia,Sandero,6,81062,Gasolina,Manual,104,7.5,2,Excelente,País Vasco,5,Negro,SUV,5496
342,Peugeot,208,9,144695,Híbrido,Manual,136,5.2,2,Excelente,Cataluña,5,Rojo,Monovolumen,2992
343,Hyundai,Tucson,5,84998,Diésel,Manual,92,7.5,1,Excelente,Cataluña,5,Rojo,SUV,6928
344,Ford,Focus,6,84370,Gasolina,Automático,133,8.7,1,Bueno,Galicia,3,Blanco,Berlina,4615
345,Hyundai,i20,16,244328,Híbrido,Manual,76,6.6,4,Excelente,Cantabria,5,Gris,Compacto,3220
346,Citroen,C3,1,7289,Diésel,Automático,60,6.8,1,Bueno,Galicia,5,Rojo,Compacto,9534
347,Peugeot,208,2,19373,Diésel,Automático,131,7.7,2,Aceptable,Murcia,5,Plata,Monovolumen,5840
348,Skoda,Karoq,1,5000,Diésel,Manual,113,6.4,1,Excelente,Cantabria,3,Gris,Familiar,16515
349,BMW,Serie 1,5,82587,Híbrido,Automático,60,5.6,1,Bueno,Navarra,5,Azul,Compacto,9368
350,Peugeot,208,16,235626,Gasolina,Automático,123,8.5,2,Bueno,Murcia,5,Blanco,SUV,3313
351,Toyota,Corolla,14,219519,Híbrido,Manual,155,4.2,4,Bueno,Asturias,5,Rojo,Familiar,3948
352,Opel,Corsa,11,169411,Diésel,Manual,138,6.8,3,Aceptable,Madrid,3,Negro,Monovolumen,1500
353,Volkswagen,Polo,19,272751,Diésel,Automático,122,7.0,5,Bueno,Extremadura,5,Plata,Berlina,1500
354,Peugeot,3008,20,299811,Gasolina,Manual,125,7.4,5,Excelente,Baleares,5,Gris,Familiar,1500
355,Dacia,Sandero,12,193996,Diésel,Manual,164,5.5,2,Excelente,Cataluña,3,Rojo,SUV,2923
356,Toyota,Yaris,13,197873,Diésel,Manual,144,5.9,1,Bueno,Madrid,5,Negro,Familiar,1500
357,Opel,Mokka,20,313640,Gasolina,Manual,122,8.5,6,Bueno,País Vasco,5,Azul,SUV,2639
358,Dacia,Duster,12,191336,Gasolina,Manual,147,7.3,1,Bueno,Cantabria,5,Blanco,Monovolumen,3711
359,Dacia,Duster,11,166230,Diésel,Manual,149,5.1,5,Aceptable,La Rioja,5,Gris,SUV,2185
360,Mercedes,Clase A,16,246645,Diésel,Manual,60,5.2,4,Bueno,Cantabria,5,Plata,Compacto,1500
361,Ford,Kuga,20,296902,Diésel,Automático,128,6.5,3,Aceptable,Cantabria,5,Blanco,SUV,1500
362,Toyota,Corolla,13,191055,Diésel,Manual,166,5.5,1,Aceptable,Asturias,5,Negro,Familiar,3244
363,Opel,Astra,17,261322,Diésel,Automático,138,7.0,2,Bueno,Aragón,5,Gris,Monovolumen,2726
364,Renault,Clio,9,135796,Gasolina,Automático,88,5.5,3,Bueno,La Rioja,5,Rojo,Familiar,3122
365,Mercedes,Clase C,17,245835,Diésel,Automático,95,7.1,3,Bueno,Valencia,5,Negro,Monovolumen,3257
366,Peugeot,3008,8,108794,Diésel,Manual,110,6.8,5,Excelente,Castilla y León,5,Rojo,Berlina,6058
367,Citroen,C3,10,142097,Híbrido,Manual,93,4.7,1,Bueno,Aragón,5,Blanco,Compacto,3293
368,SEAT,Ateca,12,180896,Gasolina,Automático,173,7.0,1,Bueno,Baleares,5,Blanco,Monovolumen,3565
369,Ford,Kuga,7,105845,Diésel,Manual,91,5.4,1,Bueno,Cataluña,5,Plata,Familiar,4513
370,Dacia,Sandero,10,138979,Diésel,Manual,65,7.3,3,Bueno,Castilla-La Mancha,5,Gris,Compacto,4421
371,Mercedes,Clase A,17,248053,Gasolina,Manual,123,5.1,4,Excelente,Cataluña,5,Gris,Berlina,2806
372,Citroen,C5 Aircross,4,57314,Diésel,Manual,90,6.8,1,Bueno,Baleares,5,Negro,Berlina,4780
373,Opel,Astra,20,298943,Gasolina,Automático,114,5.1,2,Excelente,Madrid,5,Negro,Berlina,1922
374,Peugeot,308,19,305966,Gasolina,Manual,102,8.4,1,Bueno,Cataluña,5,Plata,Monovolumen,2583
375,SEAT,Ibiza,17,257245,Gasolina,Manual,173,7.5,5,Bueno,Galicia,5,Plata,Monovolumen,1755
376,SEAT,Arona,7,98599,Diésel,Manual,128,7.5,2,Bueno,Galicia,5,Blanco,SUV,3987
377,Peugeot,308,17,252794,Diésel,Manual,153,6.9,2,Excelente,País Vasco,5,Negro,Monovolumen,1729
378,Dacia,Duster,11,174600,Gasolina,Manual,97,5.7,2,Bueno,Baleares,5,Blanco,Berlina,2712
379,SEAT,Ibiza,17,253505,Híbrido,Manual,94,6.9,2,Aceptable,Canarias,3,Plata,Berlina,1500
380,Peugeot,308,13,200212,Diésel,Automático,101,6.3,3,Bueno,Andalucía,5,Blanco,SUV,2581
381,Mercedes,Clase C,10,153658,Gasolina,Manual,116,7.8,2,Excelente,Galicia,5,Negro,Compacto,7209
382,Nissan,Micra,6,98593,Eléctrico,Manual,118,4.9,2,Bueno,La Rioja,3,Azul,Compacto,5047
383,Kia,Sportage,12,181578,Híbrido,Manual,137,6.9,4,Bueno,Aragón,3,Plata,Familiar,4913
384,Volkswagen,Polo,17,247097,Gasolina,Manual,153,6.7,3,Bueno,Aragón,5,Gris,Monovolumen,1500
385,SEAT,León,5,64021,Híbrido,Manual,130,5.7,4,Bueno,Valencia,5,Gris,Familiar,6480
386,SEAT,León,10,141264,Diésel,Manual,152,6.6,2,Excelente,Castilla-La Mancha,5,Plata,Monovolumen,3540
387,Kia,Ceed,3,36893,Híbrido,Manual,97,4.3,4,Bueno,Aragón,5,Azul,Compacto,9081
388,Skoda,Fabia,18,272083,Diésel,Manual,116,5.7,1,Aceptable,Cataluña,5,Rojo,SUV,1500
389,Kia,Sportage,13,197797,Gasolina,Manual,90,7.3,6,Bueno,Baleares,5,Blanco,Monovolumen,2389
390,Skoda,Karoq,20,294341,Gasolina,Manual,133,8.1,4,Bueno,Valencia,5,Rojo,Monovolumen,1500
391,Mercedes,GLA,3,36866,Gasolina,Manual,123,7.2,2,Bueno,Cataluña,5,Azul,SUV,15745
392,Nissan,Juke,1,5389,Diésel,Automático,147,7.6,1,Bueno,Andalucía,3,Plata,SUV,15310
393,BMW,Serie 1,10,153094,Gasolina,Manual,157,8.8,6,Bueno,Asturias,5,Blanco,SUV,5700
394,Opel,Astra,16,229167,Híbrido,Automático,116,6.1,6,Excelente,Castilla y León,3,Azul,Familiar,2620
395,Toyota,Corolla,14,215004,Diésel,Manual,152,6.0,5,Excelente,Andalucía,5,Azul,Familiar,2726
396,Citroen,C5 Aircross,2,45700,Eléctrico,Manual,130,6.3,1,Excelente,Cataluña,5,Azul,Familiar,12644
397,Skoda,Karoq,15,234846,Diésel,Manual,152,7.0,4,Excelente,La Rioja,5,Azul,Berlina,1732
398,Hyundai,Tucson,13,199184,Gasolina,Automático,163,7.9,5,Bueno,Galicia,3,Rojo,SUV,4039
399,Mercedes,GLA,3,31762,Híbrido,Automático,143,5.6,1,Bueno,Castilla y León,5,Plata,Monovolumen,17092
400,Mercedes,GLA,9,128540,Híbrido,Manual,106,6.2,5,Bueno,La Rioja,5,Gris,Berlina,7354
401,Skoda,Karoq,2,22835,Híbrido,Automático,154,5.7,2,Bueno,Murcia,5,Rojo,Monovolumen,14713
402,Peugeot,208,8,115868,Gasolina,Manual,105,7.0,1,Bueno,Aragón,5,Plata,Berlina,2060
403,Audi,A3,19,279723,Diésel,Manual,112,5.1,2,Excelente,Extremadura,3,Plata,Monovolumen,2454
404,BMW,X1,3,44505,Gasolina,Manual,141,7.9,1,Bueno,Cataluña,5,Azul,SUV,14113
405,Hyundai,Tucson,10,146102,Eléctrico,Manual,121,4.9,1,Excelente,Extremadura,5,Plata,SUV,3820
406,Dacia,Sandero,14,214760,Gasolina,Manual,66,6.9,2,Excelente,Aragón,5,Blanco,Compacto,1500
407,Kia,Ceed,7,89655,Gasolina,Manual,106,8.3,1,Bueno,País Vasco,3,Azul,Berlina,4892
408,Ford,Focus,16,230674,Híbrido,Manual,130,4.4,2,Bueno,Navarra,5,Rojo,Monovolumen,2920
409,Dacia,Sandero,10,157323,Diésel,Automático,116,6.4,6,Excelente,Canarias,3,Rojo,Monovolumen,1500
410,Kia,Ceed,9,144790,Gasolina,Manual,133,6.3,4,Bueno,Navarra,5,Rojo,SUV,2784
411,Skoda,Karoq,20,307611,Gasolina,Manual,100,5.8,3,Aceptable,Castilla-La Mancha,5,Plata,Berlina,1500
412,Nissan,Micra,17,270233,Gasolina,Manual,170,9.0,4,Excelente,Canarias,5,Gris,SUV,1524
413,Citroen,C4,19,274667,Gasolina,Manual,137,6.5,6,Bueno,Andalucía,3,Rojo,SUV,1500
414,SEAT,Ibiza,14,219743,Diésel,Automático,117,5.9,5,Bueno,Castilla y León,5,Plata,Familiar,1500
415,Hyundai,Tucson,18,273268,Diésel,Manual,122,5.8,1,Bueno,Cataluña,3,Blanco,Familiar,1500
416,Opel,Astra,3,47369,Gasolina,Automático,139,8.3,1,Bueno,Extremadura,5,Azul,SUV,9260
417,Nissan,Qashqai,8,103303,Diésel,Manual,115,6.5,1,Excelente,Cataluña,5,Blanco,Monovolumen,3753
418,Dacia,Sandero,11,157507,Diésel,Manual,63,6.7,3,Bueno,Extremadura,5,Plata,Compacto,1556
419,SEAT,Ateca,15,203019,Diésel,Manual,117,6.1,2,Bueno,Navarra,5,Negro,Familiar,4076
420,Mercedes,GLA,9,130205,Eléctrico,Manual,102,7.4,3,Excelente,Cataluña,3,Rojo,Monovolumen,7507
421,Kia,Rio,3,45450,Híbrido,Manual,117,6.5,1,Excelente,Canarias,3,Negro,SUV,8143
422,BMW,X1,12,179635,Gasolina,Manual,119,6.7,2,Aceptable,Extremadura,5,Blanco,Monovolumen,4116
423,Mercedes,GLA,18,279769,Gasolina,Manual,117,8.3,3,Bueno,La Rioja,5,Plata,Monovolumen,2036
424,BMW,Serie 1,11,170942,Diésel,Automático,132,6.0,1,Bueno,La Rioja,5,Gris,SUV,3949
425,Ford,Kuga,2,30784,Gasolina,Manual,162,6.6,1,Excelente,La Rioja,5,Negro,Familiar,11071
426,Hyundai,i30,9,135734,Gasolina,Automático,136,7.1,6,Bueno,Asturias,5,Azul,Familiar,3439
427,Peugeot,208,1,7298,Gasolina,Manual,85,8.0,2,Aceptable,Castilla y León,5,Plata,Berlina,10746
428,Renault,Captur,18,265168,Híbrido,Automático,74,4.2,5,Bueno,Cantabria,5,Negro,Compacto,1500
429,Volkswagen,Tiguan,3,47592,Híbrido,Manual,81,5.6,1,Bueno,Castilla-La Mancha,5,Rojo,Berlina,8998
430,Mercedes,Clase A,6,99647,Diésel,Manual,149,6.9,3,Bueno,Castilla-La Mancha,5,Rojo,SUV,8976
431,Opel,Mokka,16,232408,Gasolina,Manual,173,7.9,5,Bueno,Galicia,5,Azul,Monovolumen,1500
432,Dacia,Sandero,13,190768,Diésel,Manual,103,7.5,3,Bueno,Cataluña,5,Rojo,SUV,1500
433,Dacia,Duster,5,59701,Híbrido,Automático,78,4.4,1,Aceptable,La Rioja,3,Rojo,Compacto,6971
434,Audi,A4,2,37290,Diésel,Manual,132,7.5,4,Bueno,Valencia,5,Azul,Familiar,16094
435,BMW,X1,8,118266,Gasolina,Automático,151,7.6,1,Bueno,Madrid,5,Negro,Familiar,7538
436,Citroen,C3,13,186775,Gasolina,Manual,107,7.3,1,Excelente,Aragón,5,Plata,Berlina,1500
437,Peugeot,3008,13,198386,Gasolina,Manual,132,5.8,6,Bueno,Baleares,5,Rojo,Compacto,3457
438,Opel,Mokka,7,101691,Gasolina,Manual,177,7.6,2,Bueno,Galicia,5,Blanco,Monovolumen,2077
439,Ford,Focus,15,228436,Gasolina,Manual,140,5.5,3,Bueno,Madrid,5,Plata,Familiar,1616
440,Mercedes,Clase A,14,209453,Gasolina,Automático,108,8.2,4,Excelente,Murcia,5,Rojo,Familiar,3511
441,Opel,Mokka,4,45042,Gasolina,Automático,120,7.4,1,Aceptable,Valencia,5,Azul,SUV,7267
442,Ford,Focus,20,280093,Gasolina,Automático,113,7.6,4,Bueno,Galicia,5,Negro,Monovolumen,1500
443,Skoda,Karoq,1,17133,Gasolina,Automático,107,7.3,1,Bueno,Valencia,5,Negro,Monovolumen,16807
444,SEAT,Ateca,4,65716,Gasolina,Automático,78,8.1,2,Bueno,Baleares,5,Azul,Monovolumen,7348
445,Dacia,Sandero,7,101278,Gasolina,Manual,102,6.3,2,Aceptable,Valencia,5,Rojo,Berlina,1500
446,Hyundai,i30,14,200382,Gasolina,Automático,70,7.5,1,Bueno,Andalucía,5,Azul,Compacto,1749
447,Toyota,C-HR,10,137884,Gasolina,Manual,138,8.6,6,Bueno,País Vasco,5,Rojo,Familiar,4053
448,Hyundai,Tucson,9,146715,Diésel,Automático,115,8.1,3,Bueno,Murcia,5,Rojo,Familiar,4333
449,Skoda,Fabia,9,136215,Diésel,Manual,161,6.3,3,Bueno,Cantabria,5,Plata,SUV,4128
450,Peugeot,3008,13,213801,Gasolina,Manual,60,7.7,1,Excelente,Canarias,5,Gris,Berlina,1500
451,Volkswagen,Polo,8,132061,Eléctrico,Manual,62,6.5,4,Bueno,Baleares,5,Azul,Compacto,2270
452,Renault,Clio,12,193195,Gasolina,Manual,106,6.6,3,Bueno,Cantabria,5,Rojo,Compacto,2280
453,Mercedes,GLA,1,18604,Gasolina,Automático,63,6.3,1,Bueno,Extremadura,3,Plata,Berlina,25141
454,Mercedes,Clase A,19,296968,Diésel,Manual,98,5.8,1,Bueno,Cataluña,5,Plata,Berlina,1823
455,SEAT,León,18,260938,Eléctrico,Automático,138,5.2,3,Bueno,Cantabria,5,Rojo,SUV,1740
456,SEAT,Ibiza,18,270667,Diésel,Automático,117,6.2,1,Aceptable,Asturias,5,Gris,Monovolumen,1500
457,BMW,X1,14,204586,Diésel,Manual,105,6.6,5,Bueno,Murcia,5,Rojo,Compacto,2971
458,Renault,Captur,11,163066,Gasolina,Manual,149,6.7,4,Aceptable,País Vasco,5,Azul,Monovolumen,2145
459,Skoda,Fabia,10,149114,Eléctrico,Manual,107,6.2,1,Aceptable,Madrid,5,Gris,Familiar,2142
460,Renault,Megane,13,171744,Diésel,Manual,120,5.7,3,Bueno,Asturias,5,Blanco,SUV,1500
461,Audi,A3,11,160147,Gasolina,Manual,141,6.8,3,Excelente,Aragón,5,Gris,SUV,5385
462,Toyota,C-HR,12,179227,Gasolina,Automático,99,6.4,4,Bueno,Castilla y León,5,Negro,Berlina,4462
463,Audi,A3,13,191246,Gasolina,Manual,94,7.8,4,Bueno,Andalucía,3,Blanco,Monovolumen,2664
464,Skoda,Karoq,20,293758,Diésel,Manual,113,5.5,2,Bueno,Asturias,5,Azul,Compacto,2752
465,Audi,Q3,15,229841,Eléctrico,Automático,157,6.3,4,Bueno,Galicia,3,Azul,SUV,4043
466,Skoda,Karoq,19,290701,Diésel,Manual,62,6.2,5,Bueno,Andalucía,5,Azul,Berlina,2421
